query,label
SELECT count(*) FROM player WHERE birth_country = 'USA' AND bats  =  'R';,aggregation
"SELECT T2.location_name ,  T1.location_code FROM Document_locations AS T1 JOIN Ref_locations AS T2 ON T1.location_code  =  T2.location_code GROUP BY T1.location_code ORDER BY count(*) ASC LIMIT 1",aggregation
SELECT COUNT(*) AS total_comments FROM comments WHERE post_id = <specific_post_id>;,aggregation
"SELECT DISTINCT Nominee FROM musical WHERE Award != ""Tony Award""",conditional_select
SELECT * FROM event_staff_roles;,anti_pattern_select_star
"SELECT * FROM assets WHERE asset_type_id = 'AT006' AND pharmacies_id = 'Pharma3' ORDER BY serial_number ASC, active DESC;",anti_pattern_select_star
"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name",aggregation
"SELECT * FROM organizations WHERE trial_ends_at BETWEEN CURDATE() AND DATE_ADD(CURDATE(), INTERVAL 30 DAY) AND city LIKE 'P%' ORDER BY trial_ends_at DESC;",anti_pattern_select_star
SELECT Name FROM editor ORDER BY Age ASC,simple_select
SELECT * FROM events WHERE date_created >= CURRENT_DATE - INTERVAL '7 days' AND harmt >= 10;,anti_pattern_select_star
"SELECT created_at, is_open FROM event WHERE event_type = 50;",conditional_select
SELECT * FROM organizations WHERE address LIKE '%Avenue%' AND trial_ends_at > CURDATE();,anti_pattern_select_star
"SELECT * FROM staff_directory WHERE pharmacies_id = 123 AND full_name = ""John Smith"";",anti_pattern_select_star
"SELECT unit_of_measure FROM ref_product_categories WHERE product_category_code  =  ""Herbs""",conditional_select
SELECT count(*) FROM Documents_with_expenses,aggregation
"SELECT COUNT( DISTINCT Continent) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""Chinese""",aggregation
SELECT * FROM assets WHERE pharmacies_id = 'Pharma70' OR pharmacies_id = 'Pharma71';,anti_pattern_select_star
"SELECT * FROM event WHERE event_type_id = 'Incident' AND harm_level_id = 'Severe';""",anti_pattern_select_star
SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,aggregation
SELECT AVG(order) FROM event_staff_roles;,aggregation
"SELECT event_actions.events_id, event_actions.user_id FROM event_actions JOIN events ON event_actions.events_id = events.events_id WHERE event_actions.action_date > '2023-07-15 00:00:00';",simple_join
"SELECT event.*, facility.name AS facility_name, facility.address1, facility.address2 FROM event JOIN facility ON event.facility_id = facility.id;",simple_join
SELECT AVG(LENGTH(description)) AS avg_description_length FROM hazards;,aggregation
SELECT * FROM events WHERE user_id = '123' AND updated_at > '2023-01-01';,anti_pattern_select_star
"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",aggregation
SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  >  10,aggregation
SELECT Carrier FROM device WHERE Software_Platform != 'Android',conditional_select
"SELECT Name FROM musical WHERE Nominee  =  ""Bob Fosse""",conditional_select
SELECT T2.theme FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id WHERE T1.attendance  <  100 INTERSECT SELECT T2.theme FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id WHERE T1.attendance  >  500,join_heavy
SELECT COUNT(DISTINCT Artist_ID) FROM volume,aggregation
"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;",aggregation
SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id INTERSECT SELECT T2.name FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.liked_id  =  T2.id,join_heavy
SELECT * FROM users WHERE created_at = '2023-01-01';,anti_pattern_select_star
"SELECT * FROM employees WHERE MONTH(birthday) = MONTH(CURDATE());""",anti_pattern_select_star
SELECT * FROM staff_directory ORDER BY id DESC LIMIT 145;,anti_pattern_select_star
SELECT * FROM assets WHERE pharmacies_id = 'Pharma110' OR pharmacies_id = 'Pharma111';,anti_pattern_select_star
"SELECT sf_id, profiles_id FROM users WHERE sf_id = 'random_sf_id';",conditional_select
SELECT MAX(comment_date) AS latest_comment_date FROM comments;,aggregation
"SELECT T1.date_in_location_from ,  T1.date_in_locaton_to FROM Document_locations AS T1 JOIN All_documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Robin CV""",simple_join
SELECT * FROM assets WHERE serial_number REGEXP '^[A-Za-z0-9]*$';,anti_pattern_select_star
SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1,aggregation
"SELECT T3.forename ,  T3.surname FROM races AS T1 JOIN results AS T2 ON T1.raceid = T2.raceid JOIN drivers AS T3 ON T2.driverid = T3.driverid WHERE T1.name = ""Australian Grand Prix"" EXCEPT SELECT T3.forename ,  T3.surname FROM races AS T1 JOIN results AS T2 ON T1.raceid = T2.raceid JOIN drivers AS T3 ON T2.driverid = T3.driverid WHERE T1.name = ""Chinese Grand Prix""",join_heavy
"SELECT TYPE FROM vocals AS T1 JOIN band AS T2 ON T1.bandmate  =  T2.id WHERE firstname  =  ""Solveig"" GROUP BY TYPE ORDER BY count(*) DESC LIMIT 1",aggregation
SELECT * FROM staff_directory ORDER BY id DESC LIMIT 140;,anti_pattern_select_star
"SELECT event_type FROM event WHERE HOUR(created_at) = HOUR(NOW());""",conditional_select
SELECT * FROM orders WHERE order_date >= '2023-02-28 15:30:00' AND order_date <= '2023-02-28 21:30:00';,anti_pattern_select_star
SELECT * FROM event_actions;,anti_pattern_select_star
SELECT COUNT(*) AS customer_count FROM customers;,aggregation
"SELECT user_id, event_type_id, MIN(harm_level_id) FROM event GROUP BY user_id, event_type_id;",aggregation
"SELECT MIN(harm_level_id) AS min_harm_level, MAX(harm_level_id) AS max_harm_level FROM event;",aggregation
"SELECT employee_id, reg_number FROM staff_directory WHERE is_active = true AND org_id = <organization_id>;",conditional_select
SELECT * FROM event_actions WHERE events_id = '321' AND action_date IS NOT NULL AND date_done IS NOT NULL;,anti_pattern_select_star
SELECT * FROM assets WHERE pharmacies_id = 12345 AND created_at = '2023-01-01';,anti_pattern_select_star
"SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  >  (SELECT min(duration) FROM pitstops WHERE raceid  =  841)",aggregation
SELECT * FROM pharmacies WHERE name LIKE 'ABC%' AND activated_at > '2023-02-15';,anti_pattern_select_star
"SELECT action_id, action_date FROM event_actions WHERE user_pharmacy_id IN ('Pharma1' 'Pharma2' 'Pharma3') AND updated_at >= CURRENT_DATE - INTERVAL '7 days' ORDER BY action_date ASC, updated_by NOT IN ('Admin', 'Manager') LIMIT 50 OFFSET 10;",conditional_select
SELECT * FROM events WHERE reporters_id = '987' AND date_created IS NOT NULL;,anti_pattern_select_star
SELECT * FROM events WHERE harmt = REVERSE(harmt) AND event_type = 'Conference' AND event_location = REVERSE(event_location) AND event_sponsor = 'Well-known Company' AND guest_speaker IS NOT NULL AND featured_in_industry_publication = true AND diverse_audience = true;,anti_pattern_select_star
"SELECT * FROM organizations WHERE trial_ends_at BETWEEN CURDATE() AND DATE_ADD(CURDATE(), INTERVAL 7 DAY) AND city IN (SELECT city FROM organizations GROUP BY city HAVING COUNT(*) > 5);",anti_pattern_select_star
SELECT AVG(harm_level_id) AS avg_harm_level FROM event WHERE MONTH(created_at) = [month];,aggregation
SELECT * FROM event_actions WHERE user_id = '5678';,anti_pattern_select_star
"SELECT facility.name, COUNT(event.id) AS event count  FROM facility LEFT JOIN event ON facility.id = event.facility_id  GROUP BY facility.id ORDER BY event_count DESC;",aggregation
SELECT * FROM event_actions WHERE events_id IN (SELECT id FROM events WHERE user_id = '789') AND action_date > '2023-03-31';,anti_pattern_select_star
SELECT T1.organisation_type_description FROM organisation_Types AS T1 JOIN Organisations AS T2 ON T1.organisation_type  =  T2.organisation_type WHERE T2.organisation_details  =  'quo',simple_join
"SELECT max(T2.gradepoint) ,  min(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.city_code  =  ""NYC""",aggregation
SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 145 DAY,anti_pattern_select_star
SELECT LOCATION FROM shop WHERE Open_Year  >  2012 INTERSECT SELECT LOCATION FROM shop WHERE Open_Year  <  2008,conditional_select
SELECT Fname FROM STUDENT WHERE StuID NOT IN (SELECT StuID FROM ENROLLED_IN),nested_query
"SELECT * FROM events WHERE harmt IN (0, 50, 100);",anti_pattern_select_star
SELECT T1.pName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID ORDER BY T1.pName,simple_join
SELECT Total FROM body_builder ORDER BY Total ASC,simple_select
"SELECT avg(room_count) FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""",aggregation
SELECT DISTINCT country FROM artist,simple_select
"SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode",aggregation
"SELECT * FROM organizations WHERE trial_ends_at BETWEEN CURDATE() AND DATE_ADD(CURDATE(), INTERVAL 14 DAY) AND countries_id = <country_id> ORDER BY trial_ends_at;",anti_pattern_select_star
SELECT Venue FROM debate ORDER BY Num_of_Audience ASC,simple_select
"SELECT * FROM event_staff_roles WHERE \order\"" <= 5 AND updated_by <> 'Admin' ORDER BY \""order\"" ASC;""",anti_pattern_select_star
SELECT * FROM assets WHERE asset_type_id = 'AT001' AND pharmacies_id = 'Pharma1';,anti_pattern_select_star
SELECT * FROM facilities WHERE trial_ends_at > '2026-03-01' OR trial_ends_at < '2023-12-31';,anti_pattern_select_star
"SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%'",conditional_select
"SELECT classroom ,  count(*) FROM list GROUP BY classroom",aggregation
SELECT DISTINCT harm_level_id FROM event;,simple_select
SELECT * FROM staff_directory WHERE official_user_id = 'OU006' OR employee_id = 'E7890';,anti_pattern_select_star
"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",join_heavy
"SELECT title ,  rental_rate FROM film ORDER BY rental_rate DESC LIMIT 1",simple_select
SELECT DISTINCT TYPE FROM vocals,simple_select
SELECT * FROM pharmacies WHERE activated_by = CURDATE(),anti_pattern_select_star
"SELECT * FROM orders WHERE order_date BETWEEN DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND CURDATE();",anti_pattern_select_star
SELECT * FROM pharmacies WHERE name LIKE 'Pharma%Inc';,anti_pattern_select_star
SELECT * FROM events WHERE harmt = REVERSE(harmt) AND event_type = 'Workshop' AND event_location = REVERSE(event_location) AND event_sponsor = 'Well-known Company' AND guest_speaker IS NOT NULL AND featured_in_publication = true;,anti_pattern_select_star
SELECT * FROM staff_directory WHERE employee_id = REVERSE(employee_id);,anti_pattern_select_star
select distinct year from cars_data where weight between 3000 and 4000;,conditional_select
"SELECT name, order FROM event_staff_roles WHERE form_id = 'your_form_id' ORDER BY order;",conditional_select
SELECT DISTINCT template_type_code FROM Templates,simple_select
SELECT * FROM assets WHERE asset_type_id = 'AT168' OR asset_type_id = 'AT169';,anti_pattern_select_star
SELECT friend FROM PersonFriend WHERE name =  'Zach' AND YEAR  =  (SELECT max(YEAR) FROM PersonFriend WHERE name =  'Zach'),aggregation
SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 80 DAY,anti_pattern_select_star
"SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing""",simple_join
"SELECT name, description FROM hazards WHERE facility_id = 'your_facility_id' ORDER BY name;",conditional_select
"SELECT T1.council_tax_id FROM Rent_Arrears AS T1 JOIN CMI_Cross_References AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id JOIN Customer_Master_Index AS T3 ON T3.master_customer_id  =  T2.master_customer_id WHERE T3.cmi_details != 'Schmidt ,  Kertzmann and Lubowitz'",join_heavy
SELECT * FROM pharmacies WHERE city = 'Los Angeles';,anti_pattern_select_star
SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 15 DAY,anti_pattern_select_star
SELECT sum(T1.attendance) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year BETWEEN 2000 AND 2010;,aggregation
SELECT * FROM events WHERE harmt = 0 AND misuses_id IS NOT NULL;,anti_pattern_select_star
SELECT * FROM users WHERE updated_at = CURDATE(),anti_pattern_select_star
SELECT * FROM hazards WHERE description LIKE '%car%' AND description LIKE '%train%' AND description LIKE '%plane%' AND hazard_classification = 'Severe' AND safety_plan IS NOT NULL AND emergency_response_procedures IS NOT NULL;,anti_pattern_select_star
"SELECT * FROM organizations WHERE trial_ends_at BETWEEN CURDATE() AND DATE_ADD(CURDATE(), INTERVAL 7 DAY) AND city = 'London';",anti_pattern_select_star
SELECT * FROM users WHERE roles_id = 'Role789' AND official_user_id = 'OU075';,anti_pattern_select_star
SELECT * FROM assets WHERE created_at >= CURRENT_DATE - INTERVAL '7 days' AND active = TRUE;,anti_pattern_select_star
"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.HeadOfState  =  ""Beatrix"" AND T2.IsOfficial  =  ""T""",simple_join
SELECT * FROM pharmacies WHERE activate_at >= CURRENT_DATE - INTERVAL '7 days';,anti_pattern_select_star
SELECT avg(grade) FROM Highschooler WHERE id IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),aggregation
"SELECT * FROM messages WHERE timestamp_column >= NOW() - INTERVAL '24 hours';""",anti_pattern_select_star
SELECT * FROM events JOIN staff_directory ON events.users_id = staff_directory.id ORDER BY COUNT(event_actions_id) DESC;,anti_pattern_select_star
SELECT * FROM assets WHERE active = TRUE AND asset_type_id = 'AT144';,anti_pattern_select_star
"SELECT events.users_id, event_actions.date_created FROM events JOIN event_actions ON events.id = event_actions.events_id WHERE event_actions.date_created IS NOT NULL AND event_actions.date_done IS NOT NULL;",simple_join
SELECT name FROM instructor WHERE name LIKE '%dar%',conditional_select
"SELECT countries_id, COUNT(*) as organization_count FROM organizations WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 60 DAY) GROUP BY countries_id ORDER BY organization_count;",aggregation
"SELECT stu_fname ,  stu_lname ,  stu_gpa FROM student WHERE stu_gpa  >  3 ORDER BY stu_dob DESC LIMIT 1",conditional_select
"SELECT * FROM employees WHERE MONTH(birthday) = MONTH(CURDATE());""",anti_pattern_select_star
"SELECT * FROM event WHERE closed_at >= DATE_SUB(NOW(), INTERVAL 1 MONTH);",anti_pattern_select_star
SELECT * FROM event WHERE event_type_id = 'Near Miss' AND facility_id = 'QQ',anti_pattern_select_star
"SELECT count(*) ,  role_code FROM users GROUP BY role_code",aggregation
SELECT * FROM users WHERE profiles_id = 'P073' OR type = 'Manager';,anti_pattern_select_star
"SELECT department_id ,  AVG(salary) FROM employees WHERE commission_pct != ""null"" GROUP BY department_id",aggregation
"SELECT created_at, is_open FROM event WHERE description = 'Team Meeting';",conditional_select
SELECT * FROM hazards WHERE description LIKE '%weather_condition1%' OR description LIKE '%weather_condition2%' OR description LIKE '%weather_condition3%';,anti_pattern_select_star
"SELECT city, COUNT(*) as organization_count FROM organizations WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 30 DAY) GROUP BY city;",aggregation
SELECT * FROM users WHERE DATE(date_created) = DATE(date_updated);,anti_pattern_select_star
"SELECT * FROM event WHERE harm_level_id = 'None';""",anti_pattern_select_star
"SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""",conditional_select
SELECT * FROM hazards WHERE organization_hazard_id = 'your_organization_hazard_id';,anti_pattern_select_star
SELECT T2.friend FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T1.name  =  'Bob',simple_join
SELECT * FROM hazards WHERE created_at BETWEEN '2022-01-01' AND '2022-12-31' AND EXTRACT(ISODOW FROM created_at) < 6;,anti_pattern_select_star
SELECT count(*) FROM people WHERE is_male  =  'F' AND age  >  30,aggregation
SELECT * FROM event WHERE event_type_id = 2;,anti_pattern_select_star
SELECT * FROM hazards WHERE organization_hazard_id = 'your_organization_hazard_id';,anti_pattern_select_star
"SELECT sf_id, profiles_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';",conditional_select
SELECT T1.name FROM camera_lens AS T1 JOIN photos AS T2 ON T2.camera_lens_id  =  T1.id WHERE T1.brand  =  'Sigma' OR T1.brand  =  'Olympus',simple_join
SELECT * FROM hazards WHERE created_at BETWEEN '2023-06-21' AND '2023-06-25',anti_pattern_select_star
"SELECT e.*, f.*, u.* FROM events e JOIN facilities f ON e.facility_id = f.facility_id JOIN users u ON e.user_id = u.user_id;",join_heavy
SELECT * FROM hazards WHERE events_id = 123 AND name LIKE '%fire%' AND created_by = 123;,anti_pattern_select_star
"SELECT pharmacies_id, COUNT(*) AS total_hazards FROM hazards GROUP BY pharmacies_id;",aggregation
"SELECT * FROM formsettings_summarytools WHERE tools_id IN (500, 600) AND facility_id NOT IN (100, 200);",anti_pattern_select_star
"SELECT * FROM customers WHERE account_creation_date >= DATE_SUB(CURDATE(), INTERVAL 180 DAY) AND account_balance > 0;",anti_pattern_select_star
SELECT AVG(pharmacies_id) AS avg_hazards_per_pharmacy FROM hazards;,aggregation
"SELECT max(Weeks_on_Top) ,  min(Weeks_on_Top) FROM volume",aggregation
SELECT count(*) FROM artist,aggregation
SELECT * FROM organizations WHERE countries_id = 10 AND created_at > '2023-01-01' ORDER BY created_at ASC LIMIT 10 OFFSET 2;,anti_pattern_select_star
SELECT AVG(age) AS average_age FROM customers;,aggregation
"SELECT count(*) FROM Reservations WHERE FirstName = ""ROY"" AND LastName  =  ""SWEAZY"";",aggregation
"SELECT EXTRACT(MONTH FROM created_at) AS month, COUNT(*) AS pharmacy_count FROM pharmacies GROUP BY month;",aggregation
SELECT COUNT(*) FROM staff_directory WHERE is_active = false;,aggregation
SELECT * FROM organizations WHERE created_at >= CURDATE() - INTERVAL 30 DAY ORDER BY trial_ends_at;,anti_pattern_select_star
SELECT * FROM assets WHERE active = 1 AND asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';,anti_pattern_select_star
SELECT * FROM organizations WHERE city = 'Seattle' AND trial_ends_at IS NOT NULL AND countries_id IS NOT NULL;,anti_pattern_select_star
SELECT SUM(quantity) AS total_quantity_soldFROM sales WHERE product_id = <specific_product_id> AND employee_id = <specific_employee_id>;,aggregation
"SELECT Name ,  SurfaceArea FROM country ORDER BY SurfaceArea DESC LIMIT 5",simple_select
"SELECT avg(T1.duration) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.formats  =  ""mp3"" AND T2.resolution   <  800",aggregation
SELECT * FROM event_staff_roles WHERE role_name LIKE '%Legend%' AND order_value IN (SELECT number FROM primes_fibonacci ORDER BY number DESC) AND assigned_forms = (SELECT MAX(assigned_forms) FROM event_staff_roles) AND job_title LIKE '%Specialist%' AND recognized_expert = true AND positive_feedback_from_attendees = true AND contributed_to_best_practices = true;,anti_pattern_select_star
SELECT * FROM staff_directory WHERE official_user_id = 'OU044' OR employee_id = 'E7890';,anti_pattern_select_star
"created by a specific pharmacy, and belong to a specific organization, ordered by their names in ascending order, and limited to 20 rows.,SELECT * FROM hazards WHERE LENGTH(description) < 50 AND pharmacies_id = 456 AND organizations_id = 789 ORDER BY name ASC LIMIT 20;",anti_pattern_select_star
SELECT * FROM pharmacies WHERE activated_by = CURDATE(),anti_pattern_select_star
SELECT * FROM event_staff_roles WHERE is_default = true;,anti_pattern_select_star
"SELECT T1.Title ,  T2.Type FROM film AS T1 JOIN film_market_estimation AS T2 ON T1.Film_ID  =  T2.Film_ID",simple_join
"SELECT f.*, o.* FROM facilities f JOIN organizations o ON f.organization_id = o.organization_id;",simple_join
SELECT * FROM users WHERE roles_id = 'Role789' AND official_user_id = 'OU038';,anti_pattern_select_star
"SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""",conditional_select
"SELECT * FROM facility WHERE address1 LIKE '%<country>%' AND address1 IS NOT NULL AND address1 != '';""",anti_pattern_select_star
"SELECT full_name, email FROM users WHERE organization_id = 'your_organization_id' AND is_active = 1;",conditional_select
SELECT * FROM hazards;,anti_pattern_select_star
"SELECT Maker ,  Model FROM MODEL_LIST;",simple_select
"SELECT staff_directory.user_id, users.is_active FROM staff_directory JOIN users ON staff_directory.user_id = users.official_user_id WHERE users.is_active = FALSE",simple_join
SELECT * FROM users WHERE organizations_id = 123 AND roles_id = 1 AND created_at >= NOW() - INTERVAL 30 DAY AND is_active = 1 AND created_at >= NOW() - INTERVAL 7 DAY;,anti_pattern_select_star
SELECT * FROM hazards WHERE pharmacies_id = '43210' AND created_at IS NOT NULL;,anti_pattern_select_star
SELECT DISTINCT order FROM event_staff_roles;,simple_select
SELECT * FROM users WHERE profiles_id = 'P060' OR type = 'Manager';,anti_pattern_select_star
SELECT events_type_id FROM events;,simple_select
"SELECT Planned_Delivery_Date ,  Actual_Delivery_Date FROM BOOKINGS",simple_select
SELECT * FROM users WHERE type = 'Admin' AND is_active = true;,anti_pattern_select_star
"SELECT card_id ,  customer_id ,  card_type_code ,  card_number FROM Customers_cards",simple_select
"SELECT t3.title FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid WHERE t1.fname  =  ""Stephanie"" AND t1.lname  =  ""Weirich""",join_heavy
"SELECT * FROM event_staff_roles WHERE \order\"" > 10 AND forms_id < 200 AND updated_by <> 'Admin' ORDER BY \""order\"" DESC LIMIT 20;""",anti_pattern_select_star
SELECT * FROM users WHERE date_created >= CURDATE() - INTERVAL 7 DAY;,anti_pattern_select_star
SELECT StuID FROM Participates_in INTERSECT SELECT StuID FROM Student WHERE age  <  20,conditional_select
SELECT * FROM organizations WHERE trial_ends_at = CURDATE() + INTERVAL 1 DAY;,anti_pattern_select_star
SELECT Name FROM Artwork WHERE Artwork_ID NOT IN (SELECT Artwork_ID FROM nomination),nested_query
SELECT AVG(order) FROM event_staff_roles;,aggregation
"SELECT * FROM organizations WHERE trial_ends_at BETWEEN CURDATE() AND DATE_ADD(CURDATE(), INTERVAL 7 DAY);",anti_pattern_select_star
SELECT country FROM airlines WHERE name LIKE 'Orbit%',conditional_select
